shortlist_date,posting_date,match,title,company,location,source,track,assessment,url,priority,application_status,deadline,applied_date,result,next_action
2026-09-10,2026-09-09,A,"Supply Chain Sustainability Manager, Business Development",Arla Foods,Viby J,Jobindex / LinkedIn,1 + 4,"Meget stærkt match på operationalisering af sustainability, Energy/Carbon/Water/Food Waste, data/governance, programledelse, CAPEX-portefølje og oversættelse af strategi til konkrete initiativer. Engineering er relevant baggrund. Gap: tungere supply-chain/business-development-vægt end din kerneprofil.",https://dk.linkedin.com/jobs/view/supply-chain-sustainability-manager-business-development-viby-j-at-arla-foods-4463042324,Høj,Ikke søgt,,,,
2026-09-10,2026-09-09,A,Miljørådgiver,GRAKOM,Odense,Jobindex / LinkedIn,1,"Meget direkte match på miljø, klima, ESG og bæredygtighed; data, klimaregnskaber, dokumentationskrav og omsætning af krav til praktiske, værdiskabende løsninger for virksomheder. Mindre gap: rollen favner bred miljølovgivning/rådgivning ud over klima- og ESG-kernen.",https://dk.linkedin.com/jobs/view/milj%C3%B8r%C3%A5dgiver-at-grakom-4464472413,Høj,Ikke søgt,,,,
2026-09-10,2026-09-09,B,Projektleder til affald og genbrug,HTK Forsyning A/S,Taastrup,Jobindex,1 + 2 + 4,"Stærk cirkularitets- og projektledervinkel i forsyningssektoren. Din kombination af projektledelse, cirkulær økonomi og operationalisering passer godt. Gap: de konkrete erfaringskrav kunne ikke verificeres fuldt ud i den tilgængelige jobtekst.",https://www.jobindex.dk/jobannonce/h1696790,Mellem,Ikke søgt,,,,
2026-09-10,2026-09-09,C,Specialkonsulent til strategisk styring tæt på Energistyrelsens direktion,Energistyrelsen,København V,Jobindex / LinkedIn,4,"Stærkt overlap på strategisk porteføljestyring, data/ledelsesinformation, procesudvikling og omsætning af strategiske behov til konkrete værktøjer. Væsentlige gaps: de ønsker samfundsvidenskabelig akademisk uddannelse og ca. fem års erfaring fra politisk styret organisation.",https://jobportal.dk/job/specialkonsulent-til-strategisk-styring-taet-paa-energistyrelsens-direktion/,Lav,Ikke søgt,2026-09-25,,,
2026-09-09,2026-09-01,A,Senior Innovation Manager,Copenhagen Airports A/S,Kastrup,LinkedIn / CPH,1 + 3 + 4,"Meget godt match på bæredygtighed, teknologi, innovation og implementering fra idé og teknologiscreening til pilot og forankring i driften. Gap: seniorrollen lægger vægt på mindst fem års relevant erfaring og stærk innovationsledelse i en stor organisation.",https://www.linkedin.com/jobs/view/4464982236,Høj,Ikke søgt,2026-09-21,,,
2026-09-09,2026-09-09,A,ESG Consultant,NTG | Nordic Transport Group A/S,Hvidovre,LinkedIn,1,"Meget stærkt match på ESG-data, CSRD, GHG-reduktion, governance, audit/assurance og implementering på tværs af en global organisation. Mindre gap er transport/logistikdomænet og mere direkte assurance-erfaring.",https://www.linkedin.com/jobs/view/4463279978,Høj,Ikke søgt,,,,
2026-09-09,2026-09-08,A,Compliance & ESG Manager,CS WIND Offshore A/S,Aalborg Ø,Jobindex / CS WIND Offshore,1 + 4,"Stærkt match på ESG-rapportering, GHG inventories, supply-chain due diligence, governance og omsætning af krav til praktiske forretningshandlinger. Offshore wind giver samtidig et direkte grønt sektormatch. Gap: rollen rummer også en bred compliance-del.",https://www.cswoffshore.com/join-us/job-openings/vacancy?culture=en-US&id=08-09-2026,Høj,Ikke søgt,,,,
2026-09-09,,B,Analyst,Mærsk Mc-Kinney Møller Center for Zero Carbon Shipping,København,LinkedIn,1 + 2 + 4,"Stærkt overlap med klimadata, scenarie- og modelarbejde, metodegennemsigtighed, regulering og decarbonisering i en hard-to-abate sektor. Ingeniørbaggrund er direkte relevant. Gap: mere konkret techno-economic/transport-economics eller regulatory-impact analyse end din kerneprofil.",https://www.linkedin.com/jobs/view/4464096776,Mellem,Ikke søgt,,,,
2026-09-09,2026-09-08,C,Projektleder til klima- og lavbundsprojekter,Artelia,Søborg / København,Jobindex / LinkedIn / Artelia,1 + 4,"Projektledelse, kundedialog og realisering af konkrete klimaprojekter er relevant. Hovedgappet er væsentligt: Artelia efterspørger 5–10 års specifik erfaring med klima-, lavbunds- eller vandløbsprojekter.",https://www.jobindex.dk/jobannonce/r13986038,Lav,Ikke søgt,,,,
2026-09-08,2026-09-07,A,Udviklingskonsulent til Klima Living Labs,Aarhus Kommune,Brabrand / Aarhus,Jobindex,1 + 4,"Meget stærkt match på klima, projektledelse, operationalisering og samskabelse. Rollen skal udvikle og lede 2-3 Klima Living Labs, omsætte komplekse/politiske klimamål til projektplaner, milepæle og leverancer samt facilitere samarbejde mellem borgere, virksomheder, vidensinstitutioner og offentlige aktører. Mindre gap: mere borger-/civilsamfundsfacilitering og kommunal kontekst end i den dokumenterede erfaring.",https://www.jobindex.dk/jobannonce/r13984553,Høj,Ikke søgt,2026-09-20,,,
2026-09-08,2026-09-07,B,"Senior Sustainability Manager, Decarbonising Logistics",DSV,Hedehusene,Jobindex / DSV,1 + 4,"Meget stærkt fagligt match på decarbonisering, kundeværdi, scalable sustainability solutions og omsætning af komplekse bæredygtighedsudfordringer til praktiske løsninger. Rollen kombinerer sustainability, strategiske kunder og service-/værditilbudsudvikling. Gaps: DSV efterspørger 7-10 års relevant erfaring, dokumenteret business development/commercial propositions og helst erfaring med store enterprise-kunder/logistik.",https://jobs.dsv.com/job/Hedehusene-Senior-Sustainability-Manager%2C-Decarbonising-Logistics-84-2640/1434266433/,Mellem,Ikke søgt,2026-09-20,,,
2026-09-08,2026-09-08,B,R&D Engineer,Trioworld Nyborg A/S,Nyborg,Jobindex / LinkedIn,2 + 3,"Stærkt match på bæredygtig produktudvikling, cirkularitet og engineering: egne udviklingsprojekter fra idé til implementering, test af nye råvarer og genanvendte materialer samt tværfagligt samarbejde med Product Management, produktion, kunder og leverandører. Gap: rollen foretrækker kemi/materiale-/polymerbaggrund og konkret plast-/polymererfaring, hvor profilen er mekanisk/sustainable design.",https://www.jobindex.dk/jobannonce/h1688527,Mellem,Ikke søgt,2026-09-30,,,
2026-09-08,2026-09-07,B,PhD scholarship in Absolute Sustainability Transformation in Energy Systems - DTU Construct,DTU - Danmarks Tekniske Universitet,Kongens Lyngby,Jobindex / LinkedIn,1 + 2 + 4,"Usædvanligt stærkt emnematch på absolute sustainability, planetary boundaries, sustainability assessment, energisystemer og operationalisering af mål til transformationsstrategier og roadmaps. Ingeniør-/sustainability-baggrunden matcher de formelle uddannelseskrav. Gap: det er et 3-årigt forskningsspor snarere end en klassisk industrirolle, og forsknings-/publikationserfaring vil indgå i vurderingen.",https://www.linkedin.com/jobs/view/4464087825,Mellem,Ikke søgt,2026-09-21,,,
2026-09-07,2026-09-07,A,Reporting and Analytics Senior Manager,LEGO Group,Billund,LinkedIn,1,"Meget stærkt match på environmental/sustainability data, CSRD, rapportering, dashboards, KPI'er og værdikædedata. Rollen dækker bl.a. water, waste, pollution og biodiversity. Primært gap er senioritetsniveauet.",https://www.linkedin.com/jobs/view/4461863470,Høj,Ikke søgt,,,,
2026-09-07,2026-09-07,A,Bæredygtighedsleder til infrastrukturprojekter,Sweco Danmark A/S,Storkøbenhavn,LinkedIn / Sweco,1,"Meget direkte match på LCA, bæredygtighedsledelse, kravstyring, dokumentation og datagrundlag. Ingeniørbaggrund efterspørges eksplicit. Gap: erfaring med infrastruktur/konstruktion og evt. DGNB/BREEAM/BIM er en fordel.",https://www.sweco.dk/ledige_stillinger/baeredygtighedsleder-til-infrastrukturprojekter/,Høj,Ikke søgt,2026-09-20,,,
2026-09-07,2026-09-07,B,Strategy Manager,Ørsted Services A/S,Gentofte,LinkedIn / Ørsted,4,"Direkte grøn energisektor og stærkt overlap med analyse, struktureret problemløsning, stakeholder management og implementering af strategiske projekter. Gap: de søger især erfaring fra management consulting, corporate strategy, infrastructure investing eller tilsvarende analytisk miljø.",https://orsted.dk/karriere/ledige-stillinger/2026/09/32742-strategy-manager,Mellem,Ikke søgt,2026-09-20,,,
2026-09-07,2026-09-07,B,Management Support Role to Service Operations,Nordic RCC A/S,"Ørestad, København",Jobindex / Nordic RCC,2 + 4,"Relevant rolle i det nordiske elsystem med koordinering, procesforbedring, mentoring og operationalisering i den grønne energiomstilling. Godt engineering-/projektmatch; gap er manglende direkte erfaring fra power systems/control centre/24-7 operations.",https://nordicrcc.easycruit.com/vacancy/3652033/228327?iso=gb,Mellem,Ikke søgt,2026-09-13,,,
